CONDITION,CODE_TYPE,CODE,CODE_DESCRIPTION
CROHNS_DISEASE,icd-10-cm,K5000,Crohn's disease of small intestine without complications
CROHNS_DISEASE,icd-10-cm,K50011,Crohn's disease of small intestine with rectal bleeding
CROHNS_DISEASE,icd-10-cm,K50012,Crohn's disease of small intestine with intestinal obstruction
CROHNS_DISEASE,icd-10-cm,K50013,Crohn's disease of small intestine with fistula
CROHNS_DISEASE,icd-10-cm,K50014,Crohn's disease of small intestine with abscess
CROHNS_DISEASE,icd-10-cm,K50018,Crohn's disease of small intestine with other complication
CROHNS_DISEASE,icd-10-cm,K50019,Crohn's disease of small intestine with unspecified complications
CROHNS_DISEASE,icd-10-cm,K5010,Crohn's disease of large intestine without complications
CROHNS_DISEASE,icd-10-cm,K50111,Crohn's disease of large intestine with rectal bleeding
CROHNS_DISEASE,icd-10-cm,K50112,Crohn's disease of large intestine with intestinal obstruction
CROHNS_DISEASE,icd-10-cm,K50113,Crohn's disease of large intestine with fistula
CROHNS_DISEASE,icd-10-cm,K50114,Crohn's disease of large intestine with abscess
CROHNS_DISEASE,icd-10-cm,K50118,Crohn's disease of large intestine with other complication
CROHNS_DISEASE,icd-10-cm,K50119,Crohn's disease of large intestine with unspecified complications
CROHNS_DISEASE,icd-10-cm,K5080,Crohn's disease of both small and large intestine without complications
CROHNS_DISEASE,icd-10-cm,K50811,Crohn's disease of both small and large intestine with rectal bleeding
CROHNS_DISEASE,icd-10-cm,K50812,Crohn's disease of both small and large intestine with intestinal obstruction
CROHNS_DISEASE,icd-10-cm,K50813,Crohn's disease of both small and large intestine with fistula
CROHNS_DISEASE,icd-10-cm,K50814,Crohn's disease of both small and large intestine with abscess
CROHNS_DISEASE,icd-10-cm,K50818,Crohn's disease of both small and large intestine with other complication
CROHNS_DISEASE,icd-10-cm,K50819,Crohn's disease of both small and large intestine with unspecified complications
CROHNS_DISEASE,icd-10-cm,K5090,"Crohn's disease, unspecified, without complications"
CROHNS_DISEASE,icd-10-cm,K50911,"Crohn's disease, unspecified, with rectal bleeding"
CROHNS_DISEASE,icd-10-cm,K50912,"Crohn's disease, unspecified, with intestinal obstruction"
CROHNS_DISEASE,icd-10-cm,K50913,"Crohn's disease, unspecified, with fistula"
CROHNS_DISEASE,icd-10-cm,K50914,"Crohn's disease, unspecified, with abscess"
CROHNS_DISEASE,icd-10-cm,K50918,"Crohn's disease, unspecified, with other complication"
CROHNS_DISEASE,icd-10-cm,K50919,"Crohn's disease, unspecified, with unspecified complications"
LUPUS,icd-10-cm,L93,Lupus erythematosus
LUPUS,icd-10-cm,L930,Discoid lupus erythematosus
LUPUS,icd-10-cm,L931,Subacute cutaneous lupus erythematosus
LUPUS,icd-10-cm,L932,Other local lupus erythematosus
LUPUS,icd-10-cm,M32,Systemic lupus erythematosus (SLE)
LUPUS,icd-10-cm,M320,Drug-induced systemic lupus erythematosus
LUPUS,icd-10-cm,M321,Systemic lupus erythematosus with organ or system involvement
LUPUS,icd-10-cm,M3210,"Systemic lupus erythematosus, organ or system involvement unspecified"
LUPUS,icd-10-cm,M3211,Endocarditis in systemic lupus erythematosus
LUPUS,icd-10-cm,M3212,Pericarditis in systemic lupus erythematosus
LUPUS,icd-10-cm,M3213,Lung involvement in systemic lupus erythematosus
LUPUS,icd-10-cm,M3214,Glomerular disease in systemic lupus erythematosus
LUPUS,icd-10-cm,M3215,Tubulo-interstitial nephropathy in systemic lupus erythematosus
LUPUS,icd-10-cm,M3219,Other organ or system involvement in systemic lupus erythematosus
LUPUS,icd-10-cm,M328,Other forms of systemic lupus erythematosus
LUPUS,icd-10-cm,M329,"Systemic lupus erythematosus, unspecified"
RHEUMATOID_ARTHRITIS,icd-10-cm,M0500,"Felty's syndrome, unspecified site"
RHEUMATOID_ARTHRITIS,icd-10-cm,M05011,"Felty's syndrome, right shoulder"
RHEUMATOID_ARTHRITIS,icd-10-cm,M05012,"Felty's syndrome, left shoulder"
RHEUMATOID_ARTHRITIS,icd-10-cm,M05019,"Felty's syndrome, unspecified shoulder"
RHEUMATOID_ARTHRITIS,icd-10-cm,M05021,"Felty's syndrome, right elbow"
RHEUMATOID_ARTHRITIS,icd-10-cm,M05022,"Felty's syndrome, left elbow"
RHEUMATOID_ARTHRITIS,icd-10-cm,M05029,"Felty's syndrome, unspecified elbow"
RHEUMATOID_ARTHRITIS,icd-10-cm,M05031,"Felty's syndrome, right wrist"
RHEUMATOID_ARTHRITIS,icd-10-cm,M05032,"Felty's syndrome, left wrist"
RHEUMATOID_ARTHRITIS,icd-10-cm,M05039,"Felty's syndrome, unspecified wrist"
